gender,household_income,employment,age_group,race_ethnicity,education,n
Female,"$100,000 to $124,999",employed,18 to 27,american indian or alaska native,"College Degree (such as B.A., B.S.)",1
Female,"$100,000 to $124,999",employed,18 to 27,black/african american/negro,Associate Degree,1
Female,"$100,000 to $124,999",employed,18 to 27,black/african american/negro,"College Degree (such as B.A., B.S.)",4
Female,"$100,000 to $124,999",employed,18 to 27,black/african american/negro,"Completed some college, but no degree",3
Female,"$100,000 to $124,999",employed,18 to 27,black/african american/negro,Doctorate degree,1
Female,"$100,000 to $124,999",employed,18 to 27,black/african american/negro,High school graduate,3
Female,"$100,000 to $124,999",employed,18 to 27,black/african american/negro,Masters degree,3
Female,"$100,000 to $124,999",employed,18 to 27,black/african american/negro,Other post high school vocational training,1
Female,"$100,000 to $124,999",employed,18 to 27,chinese,"College Degree (such as B.A., B.S.)",27
Female,"$100,000 to $124,999",employed,18 to 27,chinese,Doctorate degree,2
Female,"$100,000 to $124,999",employed,18 to 27,chinese,Masters degree,18
Female,"$100,000 to $124,999",employed,18 to 27,japanese,Masters degree,1
Female,"$100,000 to $124,999",employed,18 to 27,other asian or pacific islander,"College Degree (such as B.A., B.S.)",33
Female,"$100,000 to $124,999",employed,18 to 27,other asian or pacific islander,"Completed some college, but no degree",3
Female,"$100,000 to $124,999",employed,18 to 27,other asian or pacific islander,Doctorate degree,1
Female,"$100,000 to $124,999",employed,18 to 27,other asian or pacific islander,High school graduate,1
Female,"$100,000 to $124,999",employed,18 to 27,other asian or pacific islander,Masters degree,14
Female,"$100,000 to $124,999",employed,18 to 27,other asian or pacific islander,Other post high school vocational training,2
Female,"$100,000 to $124,999",employed,18 to 27,"other race, nec",Associate Degree,1
Female,"$100,000 to $124,999",employed,18 to 27,"other race, nec","College Degree (such as B.A., B.S.)",16
Female,"$100,000 to $124,999",employed,18 to 27,"other race, nec","Completed some college, but no degree",2
Female,"$100,000 to $124,999",employed,18 to 27,"other race, nec",Doctorate degree,1
Female,"$100,000 to $124,999",employed,18 to 27,"other race, nec",High school graduate,5
Female,"$100,000 to $124,999",employed,18 to 27,"other race, nec",Masters degree,2
Female,"$100,000 to $124,999",employed,18 to 27,white,3rd Grade or less,1
Female,"$100,000 to $124,999",employed,18 to 27,white,Associate Degree,9
Female,"$100,000 to $124,999",employed,18 to 27,white,"College Degree (such as B.A., B.S.)",136
Female,"$100,000 to $124,999",employed,18 to 27,white,"Completed some college, but no degree",13
Female,"$100,000 to $124,999",employed,18 to 27,white,Completed some high school,1
Female,"$100,000 to $124,999",employed,18 to 27,white,Doctorate degree,10
Female,"$100,000 to $124,999",employed,18 to 27,white,High school graduate,15
Female,"$100,000 to $124,999",employed,18 to 27,white,Masters degree,42
Female,"$100,000 to $124,999",employed,18 to 27,white,Middle School - Grades 4 - 8,2
Female,"$100,000 to $124,999",employed,18 to 27,white,Other post high school vocational training,1
Female,"$100,000 to $124,999",employed,28 to 37,american indian or alaska native,Associate Degree,1
Female,"$100,000 to $124,999",employed,28 to 37,american indian or alaska native,"College Degree (such as B.A., B.S.)",4
Female,"$100,000 to $124,999",employed,28 to 37,american indian or alaska native,Completed some high school,2
Female,"$100,000 to $124,999",employed,28 to 37,american indian or alaska native,Doctorate degree,1
Female,"$100,000 to $124,999",employed,28 to 37,american indian or alaska native,High school graduate,2
Female,"$100,000 to $124,999",employed,28 to 37,american indian or alaska native,Masters degree,2
Female,"$100,000 to $124,999",employed,28 to 37,american indian or alaska native,Middle School - Grades 4 - 8,1
Female,"$100,000 to $124,999",employed,28 to 37,black/african american/negro,3rd Grade or less,2
Female,"$100,000 to $124,999",employed,28 to 37,black/african american/negro,Associate Degree,12
Female,"$100,000 to $124,999",employed,28 to 37,black/african american/negro,"College Degree (such as B.A., B.S.)",83
Female,"$100,000 to $124,999",employed,28 to 37,black/african american/negro,"Completed some college, but no degree",12
Female,"$100,000 to $124,999",employed,28 to 37,black/african american/negro,Completed some high school,1
Female,"$100,000 to $124,999",employed,28 to 37,black/african american/negro,Doctorate degree,18
Female,"$100,000 to $124,999",employed,28 to 37,black/african american/negro,High school graduate,15
Female,"$100,000 to $124,999",employed,28 to 37,black/african american/negro,Masters degree,118
Female,"$100,000 to $124,999",employed,28 to 37,black/african american/negro,Other post high school vocational training,3
Female,"$100,000 to $124,999",employed,28 to 37,chinese,Associate Degree,5
Female,"$100,000 to $124,999",employed,28 to 37,chinese,"College Degree (such as B.A., B.S.)",87
Female,"$100,000 to $124,999",employed,28 to 37,chinese,"Completed some college, but no degree",3
Female,"$100,000 to $124,999",employed,28 to 37,chinese,Completed some high school,1
Female,"$100,000 to $124,999",employed,28 to 37,chinese,Doctorate degree,46
Female,"$100,000 to $124,999",employed,28 to 37,chinese,High school graduate,2
Female,"$100,000 to $124,999",employed,28 to 37,chinese,Masters degree,107
Female,"$100,000 to $124,999",employed,28 to 37,japanese,"College Degree (such as B.A., B.S.)",11
Female,"$100,000 to $124,999",employed,28 to 37,japanese,Doctorate degree,2
Female,"$100,000 to $124,999",employed,28 to 37,japanese,Masters degree,3
Female,"$100,000 to $124,999",employed,28 to 37,other asian or pacific islander,3rd Grade or less,1
Female,"$100,000 to $124,999",employed,28 to 37,other asian or pacific islander,Associate Degree,19
Female,"$100,000 to $124,999",employed,28 to 37,other asian or pacific islander,"College Degree (such as B.A., B.S.)",216
Female,"$100,000 to $124,999",employed,28 to 37,other asian or pacific islander,"Completed some college, but no degree",9
Female,"$100,000 to $124,999",employed,28 to 37,other asian or pacific islander,Doctorate degree,47
Female,"$100,000 to $124,999",employed,28 to 37,other asian or pacific islander,High school graduate,2
Female,"$100,000 to $124,999",employed,28 to 37,other asian or pacific islander,Masters degree,253
Female,"$100,000 to $124,999",employed,28 to 37,other asian or pacific islander,Other post high school vocational training,1
Female,"$100,000 to $124,999",employed,28 to 37,"other race, nec",3rd Grade or less,1
Female,"$100,000 to $124,999",employed,28 to 37,"other race, nec",Associate Degree,9
Female,"$100,000 to $124,999",employed,28 to 37,"other race, nec","College Degree (such as B.A., B.S.)",103
Female,"$100,000 to $124,999",employed,28 to 37,"other race, nec","Completed some college, but no degree",11
Female,"$100,000 to $124,999",employed,28 to 37,"other race, nec",Doctorate degree,8
Female,"$100,000 to $124,999",employed,28 to 37,"other race, nec",High school graduate,6
Female,"$100,000 to $124,999",employed,28 to 37,"other race, nec",Masters degree,86
Female,"$100,000 to $124,999",employed,28 to 37,"other race, nec",Middle School - Grades 4 - 8,1
Female,"$100,000 to $124,999",employed,28 to 37,"other race, nec",Other post high school vocational training,2
Female,"$100,000 to $124,999",employed,28 to 37,white,3rd Grade or less,1
Female,"$100,000 to $124,999",employed,28 to 37,white,Associate Degree,95
Female,"$100,000 to $124,999",employed,28 to 37,white,"College Degree (such as B.A., B.S.)",1456
Female,"$100,000 to $124,999",employed,28 to 37,white,"Completed some college, but no degree",123
Female,"$100,000 to $124,999",employed,28 to 37,white,Completed some high school,6
Female,"$100,000 to $124,999",employed,28 to 37,white,Doctorate degree,267
Female,"$100,000 to $124,999",employed,28 to 37,white,High school graduate,47
Female,"$100,000 to $124,999",employed,28 to 37,white,Masters degree,1396
Female,"$100,000 to $124,999",employed,28 to 37,white,Middle School - Grades 4 - 8,4
Female,"$100,000 to $124,999",employed,28 to 37,white,Other post high school vocational training,11
Female,"$100,000 to $124,999",employed,38 to 47,american indian or alaska native,Associate Degree,2
Female,"$100,000 to $124,999",employed,38 to 47,american indian or alaska native,"College Degree (such as B.A., B.S.)",16
