interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,education,state,congress_district,age_group,vote_trump,vote_biden
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,Midwest,Not Hispanic,white,"$75,000 to $79,999",Associate Degree,WI,WI04,48 to 57,1,0
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",I am not sure/don't know,Conservative,employed,The United States,Female,South,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",VA,VA08,38 to 47,0,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,South,Not Hispanic,white,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",VA,VA09,38 to 47,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,unemployed,The United States,Female,South,Not Hispanic,white,"$65,000 to $69,999",High school graduate,TX,TX10,68 to 77,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Female,West,Not Hispanic,white,"Less than $14,999",High school graduate,WA,WA05,48 to 57,1,0
Only now and then,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Liberal,unemployed,The United States,Female,Midwest,Not Hispanic,white,"Less than $14,999",Other post high school vocational training,OH,OH04,38 to 47,0,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$80,000 to $84,999","Completed some college, but no degree",MA,MA05,18 to 27,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,unemployed,The United States,Female,South,Not Hispanic,black/african american/negro,"Less than $14,999","Completed some college, but no degree",TX,TX36,38 to 47,0,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,West,Not Hispanic,white,"$40,000 to $44,999","Completed some college, but no degree",CA,CA16,68 to 77,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",NC,NC07,58 to 67,1,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Conservative,employed,The United States,Female,Midwest,Not Hispanic,white,"$100,000 to $124,999",Masters degree,OH,OH16,48 to 57,0,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,employed,The United States,Female,South,Not Hispanic,white,"$20,000 to $24,999","Completed some graduate, but no degree",MD,MD01,68 to 77,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,South,Not Hispanic,white,"$60,000 to $64,999","Completed some college, but no degree",FL,FL18,48 to 57,0,1
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,South,Not Hispanic,white,"$15,000 to $19,999",Other post high school vocational training,WV,WV02,58 to 67,1,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,unemployed,The United States,Female,Midwest,Not Hispanic,white,"$30,000 to $34,999",High school graduate,OH,OH08,38 to 47,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",NY,NY25,78 to 87,0,1
Some of the time,Registered,Jill Stein,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,South,Not Hispanic,white,"$40,000 to $44,999","Completed some college, but no degree",KY,KY03,18 to 27,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,NA,"College Degree (such as B.A., B.S.)",FL,FL06,68 to 77,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",IN,IN09,68 to 77,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,unemployed,The United States,Female,Midwest,Not Hispanic,white,NA,High school graduate,MI,MI03,58 to 67,0,1
Most of the time,Registered,Jill Stein,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,West,Not Hispanic,white,"Less than $14,999","College Degree (such as B.A., B.S.)",WA,WA10,38 to 47,0,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$40,000 to $44,999","Completed some graduate, but no degree",IA,IA03,68 to 77,1,0
Most of the time,Not registered,"Did not vote, but was eligible",Not sure,Joe Biden,Moderate,not in labor force,The United States,Female,West,Not Hispanic,white,NA,"Completed some college, but no degree",CA,CA39,58 to 67,0,1
